FEN,Evaluation
1k1r3r/3P1p2/1q2p2b/1pN3p1/8/5N2/3Q2PP/2RR3K w - - 1 29,7872
4r3/4Pp1k/p4P1p/2pqR1pQ/2Np4/1Pn4P/2P3P1/6K1 b - - 2 38,7874
1k6/8/2K5/1P1N4/P3n3/1N6/8/8 w - - 1 78,7876
1r3k2/3N1p2/P1q3p1/7p/2p5/2Q2P2/1P4PP/R5K1 b - - 3 35,7877
4r1k1/r4pbp/p2Pp1p1/2N1p3/2B5/P7/5PPP/1R1R2K1 w - - 2 29,788
2k2B2/pp1n1Q2/1q5p/2pPRN1P/8/8/PP3PP1/1K6 b - - 0 31,7881
R6K/4k3/5PP1/3pP3/3P4/2P5/Pr5P/8 b - - 0 45,7883
r4k1N/pp4p1/2p1Rn1p/1qp5/2N2P2/8/PBp1Q1PP/R5K1 b - - 4 23,7884
r4rk1/bpp2p1n/p4B2/3ppNq1/4P3/1PPP2Q1/1P3PPP/R4RK1 b - - 4 22,7886
4r1k1/3q1pb1/7R/2pPpP2/1rB3Q1/1P6/5PK1/7R b - - 4 39,7888
3qnr2/1p1bpkbp/p2p2p1/4P3/2rNN1P1/4BP2/PPP4Q/2KR3R b - - 4 18,789
5rk1/1p2Qpp1/1b1N4/p2pPB1P/PP1n4/6P1/5P2/6K1 w - - 5 41,7891
r4r1k/1p5p/p2n4/2pq4/P3p3/6R1/1PQ1NPP1/5RK1 w - - 2 31,7893
5r2/P5kp/4N3/4Pp2/2pp1P2/1n2B2P/1P4P1/6K1 b - - 0 32,7896
8/2p1k3/2p1P3/3pK2p/3P4/6R1/2b5/8 b - - 7 58,7897
r5k1/pp3rpp/2p5/4N1Nq/3P1pb1/1Q6/PP3P1P/R3R1K1 w - - 2 26,7898
r1b2rk1/1pq1bppp/3ppn2/pB6/1n2PP2/PNN1BQ2/1PP3PP/2KR3R b - - 0 12,79
1q2b1k1/rB1RQpp1/2N1pn1p/p7/2P5/PP4PP/5P2/6K1 b - - 4 28,790
2r2k2/1p6/p2pRb2/P1qP1PpQ/2p4p/2N4P/1P4P1/7K b - - 3 30,7900
1r3qk1/r4p2/5Pp1/Pp4Q1/1PppB3/7P/6P1/5R1K w - - 2 51,7902
4rk1r/pp2n1pp/1b6/2p2PB1/2Bq4/Q7/PP4PP/2R2R1K w - - 2 26,7904
8/6p1/PR1P2Pk/8/8/8/5K2/3r4 w - - 5 70,7905
8/q7/P4n1k/3pb3/1Q4p1/1P1BP3/4K3/3R4 w - - 3 41,7907
3r3k/3P2b1/r1B4q/2Q2R1p/P5P1/4P2p/7P/5R1K w - - 1 41,7909
r7/r2n1kp1/1p2p3/1p1p1p1p/1B1P1P2/PP2P3/2RK1N1P/2R5 w - - 0 25,791
1r1qr2k/pp3p1P/2np2p1/2pNpPR1/4P3/3P4/PPPQ3P/2K3R1 w - - 0 22,7912
8/5r2/5P2/2P3P1/8/1pR4P/1P1k3K/8 w - - 1 51,7914
2r5/pQ1q1k1p/2n2n2/3pBP2/3P4/P4P2/7P/6RK w - - 5 39,7916
3B4/5Bk1/p2pK1Pp/2pP4/6n1/8/8/8 w - - 7 59,7918
8/8/5k2/R5p1/P7/5P1P/1PP5/6K1 w - - 1 41,7919
1br1k3/3R4/1BP1P3/p7/P1B3p1/1P3r2/6KP/8 b - - 0 49,792
8/4k1bP/p2p2P1/2pPpK2/2P1P3/P4Q2/3B4/6q1 w - - 5 44,7921
5R2/rBk5/P5p1/2P3Pb/3P3K/4pp2/8/5R2 w - - 0 54,7923
8/1p6/8/q1kB2P1/2P2Q2/1P5P/P4P2/6K1 w - - 1 43,7926
3b1R2/pp1P3p/2k4q/1r1NPp2/Q7/8/PP3P1P/1K1R4 b - - 0 28,7928
5rk1/3B1pp1/7p/b1rPP3/pN5P/P5P1/1P1B1P2/4R1K1 b - - 0 36,793
1N6/5p1p/PPNk4/2n5/8/6P1/7P/6K1 w - - 1 48,7931
2r4k/1R4q1/8/P2P4/8/P5R1/5P2/6K1 w - - 0 40,7933
6r1/1p1qRpnk/pP1p1Qp1/P1nP2P1/3B1PPp/5B2/7K/8 b - - 6 45,7935
n4k2/P4p1p/3P2p1/1rN5/2p5/6PP/5PK1/R7 w - - 3 31,7938
6k1/4Pp2/6pp/4P3/8/3R1QP1/5PKP/q5r1 w - - 1 47,7939
1b2r3/5r1k/1p4p1/p6p/P2Pp1BP/5pP1/1PRB1P1K/4R3 w - - 0 39,794
8/6RP/1p1k4/p5P1/P7/1P2r3/2P1p3/4K3 b - - 3 46,7942
8/8/3N1Pk1/4p1P1/3nP1KN/3n2P1/8/8 b - - 2 85,7944
4n2k/p4ppp/1p6/4P1b1/1P2B1q1/P1B3P1/Q6P/3rR1K1 w - - 7 34,7945
2q1nbk1/2rb1p1p/2n1p1PP/1p1pP3/1P1P2PN/3B2NK/1B1Q4/5R2 b - - 0 36,7946
8/p5P1/Pkp2R2/3p4/3P4/2n2PK1/7P/8 b - - 0 46,7947
5k2/R7/2p2Np1/1p1p1bP1/P2P3K/1PP5/4n3/8 b - - 0 48,795
2Q3k1/5p1p/6p1/P2P4/8/3n3P/2p2PP1/4rRK1 b - - 2 40,7952
2Qq4/5pbk/6pp/4P3/7P/1P4P1/6K1/4R3 w - - 0 46,7956
6k1/4Q3/2qN1p2/8/P5p1/1P3N2/5PK1/8 w - - 0 51,7958
3Q4/5k2/5rp1/p6p/7q/1PP2R2/6P1/6K1 w - - 6 58,796
1r3r2/1p4k1/p5p1/3Pp1Qp/P1P1N2P/1P4P1/7K/8 w - - 0 38,7960
4q1r1/2Q4R/p3P1p1/P1p2pk1/8/1r4P1/7P/4R1K1 b - - 0 39,7966
2q3k1/r4p1p/pp1P1Bp1/2p1N3/P3B3/7b/1P6/3RQ1K1 w - - 1 30,7969
1q4kr/2Rn1p2/6p1/1p1Pp1P1/1p2P2P/1P3RK1/r3N3/2Q5 b - - 13 39,797
4r1k1/p4pbp/1p4p1/2p1n2q/Q7/2N3PP/PP3PK1/3RR3 w - - 1 24,7971
8/4B1k1/2BP1Npp/5pP1/8/ppn5/1P5P/6K1 w - - 0 42,7974
2r1r1k1/3q1ppp/6P1/pp1B3Q/3Bp3/4P2P/PP4P1/3R2K1 b - - 0 39,7976
5nk1/2N1R3/2P2p2/pr3P1p/2P3p1/PP4P1/7P/6K1 w - - 0 36,7977
1r6/4knp1/p1Q1P2p/3p4/2pq4/6PP/P5BK/6N1 w - - 0 35,7978
3rkb1r/p2n1ppp/4pn2/2P5/Nq1Nb3/3BP3/1P3PPP/R1BQ1RK1 w k - 2 15,798
1k6/1pp2Q2/2q5/1p4Pp/2P1p2P/P7/1P2B3/2K2R2 w - - 0 31,7981
7k/1pR5/3p3p/P3p3/1P1pP3/3PqP2/7P/5Q1K w - - 1 39,7983
2r5/7k/p3pQ1p/2p3pP/2P1P3/1P4N1/1Pq2PPK/8 w - - 0 36,7986
1r2rk2/2p1qp1p/p1Pp1Nn1/4n1P1/8/P5P1/2Q2PB1/2RR2K1 w - - 3 29,799
2Q2nk1/1Q3pp1/3P4/p6p/8/2q2P2/P4b1P/1R4K1 w - - 0 32,7992
r1b1rn2/2q1bk1p/p2p1P1Q/5p2/1p1BP3/2NP3R/PP5P/R6K w - - 1 24,7993
rn1q1b1r/pp1k1pp1/2p1R1bp/7Q/2BP1B2/6N1/PPP2PPP/R5K1 w - - 1 14,7995
4k3/PNn1b3/2pq4/4pQ2/1P2Pppp/2P5/6PP/4BK2 w - - 9 53,7998
1r2r1k1/p2q1p1p/2p1bppb/2Pp4/PP1P4/2N5/4NPPP/1R1QK2R w K - 1 15,8
r1bqrnk1/pp2bppp/2p1pn2/3pN3/2PP4/1P4P1/PBQ1PPBP/RN3RK1 b - - 1 10,80
8/2B2p1k/1p1P2pp/1Pp2b2/P7/R4P2/5KP1/2r5 w - - 1 41,800
4b1k1/2Q5/1p2p3/5r2/5Pr1/BP6/P1P3PP/3R2K1 w - - 4 33,8002
4rnr1/p2p1k1p/1p1Pp3/4QB1P/3B1Ppq/2PR3b/PP6/2K3R1 w - - 3 28,8004
r4rk1/P2QR3/7p/2p3q1/8/1P3pP1/5P2/R5K1 w - - 3 41,8009
8/1p1n2N1/3K3p/1PP4P/6k1/8/8/8 b - - 1 49,801
3r2n1/4k1b1/1rq1Pp1p/1p1P3Q/p1p2N2/P1P1B3/1P3R1P/5RK1 b - - 0 38,8014
3n1r1k/4qp1p/p2p1p1N/1p1BpP1Q/1P5R/3P3P/P1r3P1/R4K2 b - - 2 30,8016
2k2Q2/2n1p3/n2pr2r/2pp4/Q7/2N5/Pq3PP1/R4RK1 b - - 3 31,8019
4rnk1/p7/2p2Q1p/2Pp1B2/P4P2/4r2P/6PK/8 b - - 1 50,802
3R4/5p1k/6pp/4P3/4NK2/1P1QP1P1/P4P1r/2q5 b - - 0 39,8021
4Qn2/6k1/2N3p1/1Pp2p2/2N1PbPp/5PqP/6B1/3R2K1 w - - 3 37,8022
1r3k2/1B3p1p/RP4p1/2P1P3/8/7P/5PP1/1R3K2 b - - 0 44,8023
5r2/2k2p1p/5Q2/2R2P2/1q1P4/6PK/7P/8 b - - 6 49,8028
8/6k1/3p1b2/2pP4/5PK1/3Q3P/1r6/8 w - - 6 46,803
7K/4RP2/2k3P1/3pP3/3P4/2P5/P6r/8 w - - 0 49,8033
1r4k1/5pP1/2pbp3/6B1/p1qPQ3/P4P2/2P1K3/7R w - - 1 32,8038
6k1/R7/2p1r3/3n4/P1NP4/1KP5/1P6/8 b - - 0 42,804
2Q2bk1/5p1p/4pnp1/3p4/1p1P4/4PNB1/qP1NBPPP/6K1 w - - 2 25,8041
4q1k1/pp2p3/4PR1p/2P3pP/4Q3/1P4P1/P2r4/4R1K1 b - - 0 39,8042
1r3k2/p4p1B/3p1P2/2p3Qp/3b4/3P2PP/P5q1/1q2RR1K w - - 0 28,8047
2r5/6kp/1nPB1np1/5pN1/2q5/P4NPP/1r3PK1/3RQ3 w - - 0 30,8048
5N2/5kpp/3Q4/8/6P1/5P2/5K1P/7q w - - 1 40,805
2Q2r2/2P4k/5npp/8/4pP1P/8/P1R2P2/3R2K1 b - - 0 50,8052
1k6/1pp5/1q6/1p1Q2Pp/2P1p2P/P7/1P2B3/2K2R2 w - - 2 32,8057
r2r2k1/pb2qp1p/1p2p3/2p1P1p1/7Q/1P1BNP2/PBP5/1K1R2R1 b - - 0 22,8059
r1bq4/bpp1Rpk1/p1np2pp/3N4/3P4/5N1P/PP1Q1PP1/1B4K1 w - - 3 21,806
1r1b4/k2b2q1/p2P2p1/P1BQp2p/1pP1P1nP/1P4P1/2K3B1/R7 b - - 0 41,8061
8/3n2pk/3P2Np/3Q4/p1P5/1p5P/3NK3/2q5 w - - 3 48,8062
8/1pp2Npk/2n2n2/3rp1Q1/2r5/4PN1P/q5PK/3R1R2 w - - 0 30,8064
5r1k/2R4p/4R2P/3B1p1b/p2b1P2/8/7K/8 w - - 0 45,807
3Q2k1/1p3pb1/p2B2pp/1r1P4/b3N3/6PP/2r2PB1/6K1 b - - 1 33,8077
8/5B1k/5P1N/6P1/P7/2r4P/1p4K1/8 w - - 1 52,8078
R3br2/2p2k1p/P1p2pp1/1qQ1p3/4P1P1/2P3NP/5PK1/8 w - - 1 38,808
4r1k1/1q6/6P1/p2P1N1p/1p6/P4Q1P/1B4P1/4rR1K b - - 0 30,8083
2r5/7p/p3kp2/7R/1p3PP1/2n2K2/P2R3P/8 w - - 1 37,809
4k2r/1bQ2p2/4pp1p/pr1qN3/3P3R/P4P2/1P4P1/1B1R2K1 w - - 3 36,8090
6rk/1p2BBN1/5P1p/pP6/P4Q2/2PP3q/7P/7K b - - 0 37,8092
1r1k1qr1/3b4/p1R3p1/2Q5/8/2N5/PPP2PPP/1K5R w - - 1 21,8093
8/7k/8/R5PP/5NK1/8/8/6r1 w - - 3 69,8095
2n5/2q3k1/3pBb1p/1PpP2pP/8/6P1/3B2K1/5Q2 w - - 3 35,8099
8/8/4bk2/2R3p1/6P1/5PK1/3r4/5B2 w - - 9 43,81
5q1k/8/3p3n/2pPp1QP/2P1P3/P7/5NK1/8 b - - 5 65,810
6n1/pp4r1/2pP1r1k/7P/2P1Q3/1P3P2/P5P1/3R2K1 w - - 5 42,8102
8/p3kP2/1p2B3/7p/2p5/P5B1/6PP/6K1 w - - 0 36,8104
3rq2r/P1pk2p1/1p3pbp/NBbp4/3p4/5N2/P2Q1PPP/R3R1K1 b - - 2 22,8107
4rk2/2Q2p2/2pp4/1p2p1p1/4P1P1/1BPP3P/P4P2/R3K2R b KQ - 1 32,8109
2kr3r/p1q2p2/1p2p1pp/P1bPPn2/2P1Q3/3B4/3B2PP/1R3R1K w - - 0 23,811
3r1k2/3P2np/1qP1R1p1/8/P1Q5/5PP1/6KP/3R4 b - - 0 51,8114
8/3kB3/3P1KRP/8/5PP1/7r/8/8 b - - 0 58,8115
4r2k/pq2ppR1/3p1n1P/1pr2P2/8/1BP4P/PP1Q3K/4R3 w - - 4 32,8118
8/1r1N1knQ/p1p1P2p/3P2p1/2P5/1p4PP/4RPK1/q7 b - - 0 45,8119
3qr2k/4R1bp/pp1r1p2/2p2PB1/3pn2Q/3P3P/PPP1R1B1/6K1 w - - 0 25,812
r1b2Q2/ppBp4/8/kP6/2n1P3/8/P1PP1PPP/RN2K2R b KQ - 0 19,8123
6rk/p2P2pp/q3n3/3QBp2/P4P2/1P4P1/2r4P/R3R2K w - - 3 30,8128
1r3n2/5pk1/3b1n1p/2pP1Bp1/2P5/1P4P1/2Q4P/4R2K b - - 2 39,813
8/8/2k2N2/P4N1p/4PP2/3P4/6PP/6K1 w - - 1 43,8136
3r1q1k/pR6/2QP1pp1/5r2/3P4/1P2R1P1/P5P1/6K1 w - - 3 38,8138
7k/1p1bbQ2/3q2p1/p1pPp2p/P3P3/1P4PN/6KP/5R2 w - - 4 37,814
r1r2nk1/2P1P2p/3R1p2/p1Q5/Pp1N4/2n2NPK/1q5P/8 b - - 2 38,8144
3r4/2R5/p2PP1k1/3K1p2/5Pp1/1P6/P6P/8 b - - 0 41,8147
5k1r/pQ2b2p/2B1p1p1/4qp2/4N3/5P2/PP3P1P/3R2K1 w - - 0 21,815
1r1k4/p1p2R1p/3p1Pp1/r2B4/1p3P1P/4N3/PP5P/2K4R w - - 0 28,8159
2bB1k2/P3p2p/2p2bp1/8/4pP2/2P5/1P5P/4R1K1 b - - 0 32,816
4r3/pp1k2p1/3PN2p/3R1p1P/1qN2P2/bP6/P3Q1P1/1K6 w - - 1 30,8161
r1bBk1r1/pp3p1p/1q2p3/1NppN3/8/3P1Q2/PPP3PP/R5K1 b q - 4 19,8162
2rr4/1pN2pk1/pP1p2pN/4b3/3qP3/5QP1/6K1/2R1R3 w - - 4 39,8169
4rrk1/p3R2p/2qP1n2/5p2/Pp3P2/4N1PK/3R3P/3Q4 b - - 2 33,817
3Q2k1/5p2/2BPr2p/7q/2N4n/4N1p1/4nPPP/1R1R3K b - - 0 39,8171
8/3k4/5N2/P4N1p/4PP2/3P4/6PP/6K1 b - - 0 42,8172
8/6k1/6P1/3r1PK1/1p4N1/3n2P1/8/1R6 w - - 3 65,8173
2q1r1k1/p4p2/1n3PpR/4p1P1/p2pP1b1/3n1BK1/1Pr1N3/R1B4Q b - - 1 30,8174
6k1/4rpq1/P3P3/2p4Q/2B3N1/1P5P/4R1PK/3r4 b - - 0 49,8178
8/4Qrkp/p2P4/7p/8/7P/1Pq3PK/6R1 w - - 2 35,818
6k1/r5b1/pp1p1qB1/2pPr2Q/Pn2P3/2N5/1P3B2/2R2RK1 w - - 1 30,8180
1r4k1/1p2P3/p2q4/Pb3Qp1/4BbPp/5N1P/5PK1/4R3 b - - 2 38,8183
5k2/1pp3r1/p2p1pP1/1q1PbB1Q/4P3/1P4P1/P5K1/5R2 w - - 0 36,8184
6k1/2p1Bp2/Q2N2pp/n2P4/3b4/5qP1/PR3P2/5RK1 w - - 1 25,8185
1r1qnrk1/1p1b4/pN1p3p/P1pPP1p1/2B3P1/2N4P/1PQ4K/R1B5 b - - 0 29,819
1r2bN2/pq2p1k1/1r1p1pp1/3P3P/4P3/Pn2Q1PB/1P3R1K/1R6 w - - 3 38,8190
Q1r1k3/P3ppbp/3p2p1/2nP4/4PB2/6P1/5PBP/1R4K1 b - - 0 37,8194
3k3r/3p1pp1/pP6/4p2p/2QbNqP1/N4P2/PP4KP/4R2R w - - 4 34,8197
r1bB1Q2/pppp4/8/kP6/2n1P3/8/P1PP1PPP/RN2K2R w KQ - 1 19,8198
r3r1k1/pbqnbpp1/1p3n1p/2p1p3/7B/2PBPN1P/PP1NQPP1/3RR1K1 w - - 0 15,82
2r3k1/1p4p1/p2qNp1p/2rP1b2/2PN3P/nP6/P3QPP1/2R1R1K1 b - - 0 29,820
r7/P2k4/1K1p1p1P/2nP1N2/6P1/R7/8/8 w - - 3 70,8200
r1bq1r2/1p1n2kB/p2pP3/2pP4/P1P1Np2/5Qb1/1P1B2K1/R6R b - - 0 20,8201
8/5Nk1/6P1/p1p2P2/2P1B3/1P6/P5K1/8 w - - 1 46,8202
8/4PPR1/1K1r4/1pB4k/1P6/8/8/7q w - - 2 55,8206
r2q4/2Qb2kp/1p1P2p1/pP2ppN1/8/4P3/P4PPP/1R4K1 w - - 7 30,8209
3r1r1k/1p4pp/6q1/p2BRp2/P2P4/1Q6/1P3PPP/R5K1 w - - 1 22,821
5R2/5p1k/4P3/5PK1/p7/1bB5/1P6/6r1 w - - 1 51,8211
r3q3/6Bp/p2PP1p1/1bR2r2/2Q2p1k/6P1/4B3/6K1 b - - 0 39,8213
2r2r1k/p7/1q2P1Q1/2p5/7P/2P5/P4PP1/4R1K1 w - - 3 40,8214
8/3kB3/3P1KRP/8/5PPr/8/8/8 w - - 1 59,8215
r3r2k/1p2b3/1q2pp1p/p2p1P2/P2P3N/4P2Q/5P1P/6RK w - - 0 27,8219
6k1/2B2pb1/p5pp/2pB4/N4P2/4p3/1P3qPP/R2R3K w - - 0 32,822
4Q1B1/6b1/3q3k/2p1n1pp/3p3P/6B1/RP3PP1/6K1 w - - 0 38,8220
r3q1r1/pk4nb/2p1p1p1/1p2Q1B1/3P2PP/8/PPP2PB1/2KR3R w - - 3 23,8223
r7/5k2/4p2R/2PpB1P1/3P1K2/2P5/4b3/8 w - - 5 63,8225
r4r2/bp3p1k/p1p2qnp/3ppN2/1P2Pp2/1BPP1N1P/P3QPRK/R7 b - - 3 25,823
2N2r2/2Q4p/5pp1/P3n1k1/4P3/6K1/2B5/4R3 b - - 0 44,8230
8/p3r1k1/2p2nQ1/3q3P/3P2P1/P1P5/5P2/1R4K1 b - - 2 36,8233
r2qr2Q/pb2kp2/1p2p1N1/1N1n2b1/3PB3/8/PP3PPP/2RR2K1 b - - 0 22,8238
1bB1r3/1P5P/6R1/2k1p3/4K1P1/8/8/8 w - - 1 55,8239
2rrn1k1/1q3pb1/6pp/1Pn3P1/4pP2/2N1B3/BP2Q2P/R4RK1 w - - 1 25,824
3r3k/2qr1Qp1/1pp1p1pn/6P1/3P4/1B4P1/PP3PK1/7R w - - 3 30,8247
5r2/3br1pk/2pN3p/p3Pp2/2B2R2/P6P/1PP2PP1/4R1K1 b - - 2 29,825
1r6/6kp/2q2pp1/p1n3P1/1nB2P2/1P4NP/1Q1R3K/8 w - - 1 39,8254
6k1/2p4p/p1Qp3q/5P2/1PP1K3/P5PP/8/8 b - - 4 41,826
6k1/p4p1p/1p1r1bpn/q2p4/3P2P1/1QN1R2P/PP6/5R1K w - - 0 28,827
r1q5/pp3kn1/3b2Q1/2p1p1p1/2P1Bn2/P1N2R1P/1P1BN2K/R7 b - - 2 32,8271
4rrk1/b1p1RB1n/1pq2p1p/3p1PpN/1B1P4/P2Q3P/1P3PPK/4R3 b - - 0 35,8273
1r2r2k/1b2BBb1/pPqP2Qp/2p5/8/5N1P/1P3PP1/4R1K1 b - - 0 25,8274
8/8/3k4/PP1n4/7P/8/8/5R1K w - - 1 66,8276
4Q3/4b3/p2p4/1p2k1p1/1q4P1/1P4N1/5PK1/8 w - - 6 43,828
1rbr4/3n1qkP/p4p2/1p2p3/B5QN/P3P3/1P1R1PP1/3R2K1 b - - 4 25,8280
3k4/8/1PP3p1/4p3/K4P1p/8/6P1/8 w - - 0 62,8285
1q1b4/5p1k/p2p1P1p/2pP2r1/2P1Pnb1/2NB4/1B1Q4/4K1RR w - - 3 37,8289
1b4k1/rP1b1rp1/p2p1q2/N2Pp2p/1Q2P3/R4N1P/5PP1/4R1K1 w - - 1 29,829
6r1/1P1k1p1p/1BNb4/1P1P4/2p1pp2/7P/1Q3Pr1/R2R1K2 b - - 0 32,8290
3b1kr1/ppq2ppp/2p2P1B/5R1Q/2B5/8/PPP1r1P1/5R1K w - - 0 22,8292
8/2k5/p1p5/P1K1PP1p/1P5P/8/8/8 w - - 3 43,8294
3r4/3P2bk/n7/q3p1PQ/2p2p2/1P6/3R3P/2NK3R b - - 0 41,8295
1q2rk2/4Nn1p/p1P1Q1p1/1P3p2/P6P/4B1P1/5P2/3R2K1 b - - 0 43,8299
2r2rk1/pp2ppbp/n2qb1p1/3p4/3P4/1PB2NPP/P2QPPBK/R4R2 w - - 4 17,83
r1b1nrk1/1p1q1p1p/2pp2pQ/2B1P3/p7/P1N3PP/1P3P2/R3RBK1 b - - 0 21,830
1r3k2/pp2Qpnp/3p2p1/3N1P2/1P2P1P1/7r/q1P4P/3R1RK1 b - - 0 24,8300
r2k4/P1R4p/1n1P2p1/8/5P2/6PB/7P/6K1 w - - 3 47,8301
4r2k/4q2p/1PP1nR2/3QPKP1/8/8/8/R7 w - - 1 63,8304
4r3/2BQ1p1p/6pk/3B4/2pp3P/4bPK1/4q1P1/7R w - - 1 35,8306
8/7k/8/3Q1PqP/P6p/7K/8/8 w - - 3 64,8307
r3r2k/4P2p/6pP/2R5/p2R1P1B/6P1/n7/6K1 b - - 0 42,831
2r5/1p3k1R/p2p4/P2Pq3/2P3Q1/6p1/1P4K1/8 b - - 2 39,8311
4q3/7k/1P3K2/2QP4/1P6/8/8/8 b - - 4 68,8313
2r5/2P3R1/6K1/1pBk1P2/1P4P1/8/8/8 w - - 1 57,8315
r2q1br1/1p1n1kp1/2pBR1Pp/5N2/pnPP4/7Q/PP3PP1/2KR4 b - - 0 21,8316
2R1r2k/5ppp/p5r1/1pQP4/1P2Pp2/P4P2/1qB1KP1P/8 b - - 10 34,8319
r3q2k/p2nr1b1/6p1/2pP2N1/7Q/7P/PP3PP1/R1B2RK1 b - - 4 20,832
3Q4/5b1p/p5k1/2pPBqp1/8/1r5P/1P4PK/4R3 w - - 4 43,8320
1k6/4q3/1KQP1pp1/8/1P4P1/7P/8/8 b - - 0 66,8325
kr6/1q3p2/p3p2p/2Qn3P/8/3R2P1/PP3P2/1KR5 w - - 5 37,833
5r1k/1R3p2/8/4PKPP/5P2/8/8/8 w - - 5 49,8330
3k4/6P1/1P3n2/2K5/5PN1/7p/8/8 b - - 4 64,8335
1r3k2/p5r1/2p1ppPQ/7R/q2P4/2B5/1P1K4/8 w - - 6 37,8339
5r2/3k4/p5RP/2R5/2P2p2/6n1/PP6/1K6 b - - 0 46,834
6N1/3b1k2/p2p4/1ppP1PQ1/4P3/4N3/1q6/5B1K w - - 1 42,8345
2b5/p1q2kbP/2ppp1nR/4PpQ1/5P2/2N5/PPP3P1/2K5 b - - 1 21,835
Q1N5/3B1pp1/1P3k2/3p4/3P4/2b5/KB3r2/3b4 w - - 5 38,8356
8/3b4/p1r5/1pk3KP/3p2P1/1P1Q4/8/8 b - - 2 65,836
2r5/p1P1kp2/P1K5/1N2P1P1/8/7P/4Bp1P/8 b - - 3 61,8362
2br2k1/b1p2p2/p2q1pn1/1p1P1Q1N/7P/P4N2/1PBR1PP1/6K1 w - - 3 29,837
2r1q2k/6pp/2p1P3/3R1nN1/1p3P2/1P5P/P1Q2BP1/4R1K1 b - - 0 37,8374
r1bqr3/pppp1pQ1/3k4/6N1/8/8/PP3PPP/RNB2RK1 w - - 5 21,8376
8/r7/1k1p3P/3Pp3/2p1Pp2/1P2qP2/NK4Q1/4B2R w - - 0 44,8378
5Q2/pkqb4/1p2p2p/2pp4/3P4/2PBP3/PP4PP/4B1K1 w - - 3 24,838
3r1r1k/pp2b1R1/1qn1pp1p/2p4P/4NP2/2B5/PPP1Q3/1K4R1 b - - 2 23,8380
6k1/pp3pp1/q3p2P/3nB1QP/2r5/P1n2N2/1P3P2/1K5R w - - 4 29,8384
r1r3k1/2bq2p1/p1p1p1n1/2P1p1B1/P2pP1QP/1N1P2P1/5RK1/5R2 w - - 1 41,839
5r1k/1p1b2b1/p1pr2B1/4BP2/1qP4P/1P2Q3/P6P/3R1RK1 b - - 0 31,8396
5kr1/ppb5/2p2qPP/3p4/1P6/3B4/PB3P2/R4K2 w - - 0 39,8397
8/5pk1/5r2/6pp/5P2/2Q2KPP/8/8 w - - 0 37,8399
3rb1k1/R4ppp/5b2/2p5/2P1PB2/3p2P1/P4PBP/6K1 w - - 1 32,84
r3qb2/p5kn/2p1b3/1p2N2p/3p2pP/P1P3B1/1PBQ2P1/R6K w - - 0 28,840
3k4/7R/3PP1p1/5r2/8/6K1/6PP/8 b - - 2 49,8402
3r4/1p1PPk2/p2P4/P7/1P6/3K4/6p1/8 w - - 1 60,8404
r1r4Q/p2k1p2/1p2pB2/3PP1p1/4B3/P7/3q1PPP/3R2K1 w - - 3 31,8406
3kr3/1p6/p2pP3/1bpP3Q/8/2N3P1/1P4K1/8 w - - 1 39,8408
8/p5r1/5RP1/2pkp2p/5P1P/1P2K3/P7/8 b - - 0 56,841
8/ppK2QP1/2p5/2P5/1P6/P5q1/6k1/8 w - - 5 68,8411
Q1q5/3n1kbp/3Pp1p1/1Q2PpP1/8/5r1P/R5K1/8 b - - 0 46,8413
1rq1r3/1p4bk/p1p1P1P1/8/2P4p/6PP/Q5BK/2R1R3 b - - 0 33,842
3r4/7k/5R1P/3PP3/5KP1/5P2/8/8 w - - 1 54,8421
8/8/2k5/3nP3/1PPP4/3K4/8/8 w - - 1 63,8423
5r1k/1p4bp/8/1P1p4/P7/1q4PQ/2nB1P1P/1B2R1K1 w - - 8 30,843
8/4Pk1p/3p1Pp1/pp1P2P1/3K1NbP/8/1P6/8 w - - 1 57,8430
4rrk1/2qn3p/p3p2B/1p1p1p2/3P2R1/2P4P/PP2Q1P1/4R1K1 b - - 1 22,8434
3rk1r1/pR3p1p/4p3/2qP4/7Q/2b2N2/5PPP/3R1K2 w - - 1 24,8437
3Q4/1p1P1k2/p2P4/P7/1P6/3K4/8/6q1 w - - 0 61,8439
8/1p3p2/p3bK1k/6p1/2P3pn/1PB2P2/P6R/8 w - - 0 40,844
R3n1k1/3b4/3pP1p1/2pP4/2P1Q1P1/7R/5K2/2q5 b - - 4 54,8441
7k/pp4pp/2qP4/5p2/3Q1B2/8/PPr3PP/4R1K1 w - - 2 26,8448
1kr5/p5p1/2p1qp1p/2P1p2P/3nQ2N/P7/1P3PP1/1K1R4 w - - 3 33,845
1r1r1n2/1bq2pk1/p2p4/1pn3p1/6B1/1NP1B1N1/PP3K1Q/3R1R2 w - - 0 34,8452
5k1r/p3p2p/2B1Qpp1/8/1q5P/1Pb5/P1P2rP1/1K1R3R w - - 1 21,8453
1n3rk1/q6p/p1p5/2b1P1NQ/1pP2p2/6P1/PB3P1P/3R2K1 w - - 1 30,8454
6k1/5b2/3q3p/p2P2p1/8/P1Q3P1/5P2/3R2K1 b - - 1 41,846
1r5k/p2p2p1/bp5p/3Q4/8/2P2N2/PP1K1PPP/RN2R3 w - - 3 21,8460
8/6pk/P4r1p/8/1BPr4/R4PPn/7P/2R2K2 b - - 0 39,847
